Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get_data/1,146,0,6,7.864842479458362,2.4298979999457515,48.03092300016942,93.05479452054794,0.12161501715767171,0.0,6,7,8,9,13,17,32,35,48,48,48
GET,/get_data/10,129,0,6,7.850363465122921,3.002684999955818,36.87848700019458,122.02325581395348,0.1074543644749291,0.0,6,7,9,10,13,16,20,29,37,37,37
GET,/get_data/100,125,0,6,8.394448927989288,2.818423000007897,43.66531400000895,121.416,0.10412244619663674,0.0,6,8,9,10,14,19,25,36,44,44,44
GET,/get_data/101,130,0,6,7.92564864614353,2.831149000030564,30.315373999656003,120.5,0.1082873440445022,0.0,6,8,9,10,14,18,29,30,30,30,30
GET,/get_data/102,133,0,6,8.2846426165477,2.4882009997782006,65.43713500013837,122.19548872180451,0.11078628275322148,0.0,6,8,9,10,14,19,33,47,65,65,65
GET,/get_data/103,134,0,7,9.11201622384804,3.004322999913711,46.18150899977991,122.48507462686567,0.11161926232279458,0.0,7,8,9,11,16,25,32,33,46,46,46
GET,/get_data/104,121,0,6,8.256616066119925,2.75413600002139,74.95525800004543,121.21487603305785,0.10079052791834436,0.0,6,7,8,9,11,16,43,59,75,75,75
GET,/get_data/105,144,0,7,7.886062326374738,2.92432700007339,39.5205600002555,122.27083333333333,0.11994905801852553,0.0,7,7,9,9,12,19,24,26,40,40,40
GET,/get_data/106,122,0,7,8.857668991817128,3.4087980002368568,70.74687800013635,122.31967213114754,0.10162350748791746,0.0,7,7,10,10,14,22,35,45,71,71,71
GET,/get_data/107,118,0,7,8.006109169502714,2.4815980000312265,43.94458900014797,122.11016949152543,0.09829158920962508,0.0,7,8,8,10,14,17,25,26,44,44,44
GET,/get_data/108,136,0,6,7.626363073536127,2.9593639999347943,26.239848999921378,121.4779411764706,0.11328522146194077,0.0,6,7,9,9,12,18,23,24,26,26,26
GET,/get_data/109,141,0,6,7.679660241174843,2.855236999948829,36.68077399970571,121.46099290780141,0.11745011930980624,0.0,6,7,9,10,12,17,27,31,37,37,37
GET,/get_data/11,146,0,6,8.059296157524567,3.714979000051244,36.905631000081485,122.57534246575342,0.12161501715767171,0.0,6,8,9,10,14,18,20,34,37,37,37
GET,/get_data/110,118,0,6,7.739419466081742,3.4716710001703177,37.675480999951105,122.66101694915254,0.09829158920962508,0.0,6,7,9,9,13,18,27,34,38,38,38
GET,/get_data/111,130,0,6,8.41683913846422,2.3557659999369207,36.9146829998499,120.1,0.1082873440445022,0.0,6,8,10,11,13,24,35,36,37,37,37
GET,/get_data/112,145,0,6,7.373622710333463,2.8114439996898,51.42442399983338,122.0896551724138,0.12078203758809862,0.0,6,7,8,9,12,15,25,30,51,51,51
GET,/get_data/113,130,0,6,8.353463046130226,2.9107850000400504,63.1585860000996,121.2,0.1082873440445022,0.0,6,8,9,10,13,20,32,32,63,63,63
GET,/get_data/114,139,0,7,9.051734496370372,3.180231999976968,98.56807300002401,121.09352517985612,0.11578416017066005,0.0,7,8,9,10,14,20,39,59,99,99,99
GET,/get_data/115,118,0,7,9.968252974562409,2.64527299987094,57.55993999991915,122.11016949152543,0.09829158920962508,0.0,7,8,10,13,18,34,45,49,58,58,58
GET,/get_data/116,114,0,7,8.153318429828703,2.732250999997632,38.40574400010155,121.5701754385965,0.0949596709313327,0.0,7,8,9,10,12,18,24,37,38,38,38
GET,/get_data/117,133,0,7,9.542927097756436,2.435491000142065,87.5734910000574,122.29323308270676,0.11078628275322148,0.0,7,8,10,11,15,22,46,54,88,88,88
GET,/get_data/118,124,0,6,7.547913879054044,2.5715199999467586,28.953086999990774,120.5241935483871,0.10328946662706365,0.0,6,8,9,10,12,15,19,23,29,29,29
GET,/get_data/119,150,0,6,8.880160219975247,2.8720650000195747,66.92619800014654,121.52,0.12494693543596408,0.0,6,8,8,10,13,17,60,64,67,67,67
GET,/get_data/12,154,0,7,10.40262571429694,2.877623999665957,83.72501199983162,119.7012987012987,0.12827885371425646,0.0,7,8,10,12,19,29,42,76,84,84,84
GET,/get_data/120,133,0,6,8.427906736852677,3.0079510001996823,64.99288399982106,122.39097744360902,0.11078628275322148,0.0,6,8,9,9,12,20,37,45,65,65,65
GET,/get_data/121,133,0,6,7.974023909779285,3.1404559999828052,68.07505999995556,120.09774436090225,0.11078628275322148,0.0,6,7,8,8,13,19,26,42,68,68,68
GET,/get_data/122,124,0,7,8.466890467737416,3.2479950000379176,49.655669999992824,121.31451612903226,0.10328946662706365,0.0,7,8,9,10,13,17,41,41,50,50,50
GET,/get_data/123,130,0,6,9.986518646122441,3.0930749999242835,92.27523299978202,122.1,0.1082873440445022,0.0,6,7,10,11,18,27,48,66,92,92,92
GET,/get_data/124,122,0,6,9.525928213121437,3.213938000044436,64.11227699982192,121.21311475409836,0.10162350748791746,0.0,6,8,9,10,20,26,34,62,64,64,64
GET,/get_data/125,113,0,7,9.821791079655796,2.819514999828243,58.975808000013785,120.69026548672566,0.0941266913617596,0.0,7,9,10,11,18,28,45,46,59,59,59
GET,/get_data/126,140,0,6,7.583620242837696,2.450954999858368,42.189455999960046,122.18571428571428,0.11661713974023315,0.0,6,7,8,9,12,15,27,29,42,42,42
GET,/get_data/127,127,0,6,8.117633259826823,2.8345820001050015,68.89722400001119,120.30708661417323,0.10578840533578293,0.0,6,7,9,9,12,17,35,44,69,69,69
GET,/get_data/128,121,0,7,7.859968471068497,2.7443640001365566,36.63606999998592,121.64462809917356,0.10079052791834436,0.0,7,8,9,9,11,15,22,30,37,37,37
GET,/get_data/129,114,0,6,7.904820798244784,2.4826019998727133,37.58964799999376,121.5701754385965,0.0949596709313327,0.0,6,8,8,9,14,19,20,33,38,38,38
GET,/get_data/13,148,0,7,10.592966425650577,2.6191050001216354,129.56369999983508,119.64864864864865,0.12328097629681789,0.0,7,8,9,10,17,40,59,73,130,130,130
GET,/get_data/130,123,0,7,9.039964439025647,2.747762999661063,109.34741500022938,122.42276422764228,0.10245648705749055,0.0,7,8,9,10,12,20,34,44,110,110,110
GET,/get_data/131,136,0,7,9.245720058815136,3.091454999776033,65.69128000001001,121.38235294117646,0.11328522146194077,0.0,7,8,10,10,17,26,38,41,66,66,66
