Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get_data/1,82,0,5,5.7567441219595,2.6511010000831448,23.457987000256253,69.0,0.1365122385442615,0.0,5,6,6,7,8,8,18,23,23,23,23
GET,/get_data/10,120,0,5,6.493877099990186,2.837912999893888,34.56095000001369,100.0,0.19977400762574854,0.0,5,6,6,7,9,11,27,28,35,35,35
GET,/get_data/100,82,15,5,5.990921219530187,3.10664300013741,38.85285200067301,90.1219512195122,0.1365122385442615,0.024971750953218567,5,6,6,7,8,8,14,39,39,39,39
GET,/get_data/101,79,9,5,6.4660717088245985,2.9720140000790707,29.72439299992402,92.9620253164557,0.1315178883536178,0.01498305057193114,5,6,6,7,10,17,21,30,30,30,30
GET,/get_data/102,82,4,5,6.913599548802378,3.069016000154079,65.06127099964942,96.41463414634147,0.1365122385442615,0.006659133587524952,5,6,7,7,10,13,27,65,65,65,65
GET,/get_data/103,96,10,5,6.733262125024453,2.8399439997883746,44.32490700037306,93.47916666666667,0.15981920610059883,0.01664783396881238,5,6,7,7,9,17,29,44,44,44,44
GET,/get_data/104,68,9,5,5.986517941176531,3.0771490000915946,26.336378999985754,92.8529411764706,0.11320527098792417,0.01498305057193114,6,6,7,7,8,9,17,26,26,26,26
GET,/get_data/105,83,10,5,6.207397240967725,2.966599000046699,37.05359900004623,94.37349397590361,0.13817702194114273,0.01664783396881238,5,6,7,7,8,10,26,37,37,37,37
GET,/get_data/106,87,17,5,5.874891517233381,3.1041350002851686,16.671772999870882,90.25287356321839,0.1448361555286677,0.028301317746981042,5,6,6,7,9,10,15,17,17,17,17
GET,/get_data/107,72,12,6,6.902368111114912,3.084400999796344,35.86262299995724,91.0,0.11986440457544913,0.019977400762574853,6,6,7,8,9,12,34,36,36,36,36
GET,/get_data/108,91,10,5,6.427633340645915,3.0189010003596195,34.09845999976824,94.95604395604396,0.15149528911619264,0.01664783396881238,5,6,6,7,10,16,33,34,34,34,34
GET,/get_data/109,75,7,5,6.085866360002304,3.026920000138489,21.837397000126657,94.96,0.12485875476609284,0.011653483778168664,5,6,7,7,9,11,18,22,22,22,22
GET,/get_data/11,105,0,5,5.911988333324795,3.133803999844531,18.133954999939306,99.0,0.17480225667252997,0.0,5,6,6,7,8,10,11,14,18,18,18
GET,/get_data/110,85,12,5,6.377490800022154,2.463160999923275,24.85915000033856,92.37647058823529,0.1415065887349052,0.019977400762574853,5,6,7,7,9,13,21,25,25,25,25
GET,/get_data/111,59,13,5,6.207630457654084,3.1248400000549736,48.680200000490004,88.88135593220339,0.09822222041599303,0.021642184159456093,5,6,7,7,8,9,11,49,49,49,49
GET,/get_data/112,84,10,5,5.654504130948875,2.986372000123083,23.530325000137964,93.57142857142857,0.13984180533802398,0.01664783396881238,5,6,6,6,7,10,12,24,24,24,24
GET,/get_data/113,80,7,5,5.792279787482357,2.639899999849149,12.329744000453502,95.275,0.13318267175049903,0.011653483778168664,5,6,7,7,9,11,12,12,12,12,12
GET,/get_data/114,82,11,5,6.505023390240595,2.4702000000615953,62.82386699967901,93.6219512195122,0.1365122385442615,0.018312617365693618,5,6,7,7,8,9,21,63,63,63,63
GET,/get_data/115,77,15,5,6.417503207806228,2.87963300024785,22.314127999834454,90.28571428571429,0.12818832155985532,0.024971750953218567,5,6,7,8,10,16,22,22,22,22,22
GET,/get_data/116,69,7,5,5.188000565241332,3.006497999649582,9.516314999928,95.42028985507247,0.11487005438480541,0.011653483778168664,5,6,6,6,7,8,9,10,10,10,10
GET,/get_data/117,72,13,5,6.182209958341092,3.120588999991014,31.37352700014162,88.61111111111111,0.11986440457544913,0.021642184159456093,5,6,7,7,8,11,24,31,31,31,31
GET,/get_data/118,71,8,5,5.957740563349995,2.9747130001851474,18.47721800004365,93.91549295774648,0.11819962117856789,0.013318267175049903,5,6,6,7,8,13,17,18,18,18,18
GET,/get_data/119,64,8,5,7.086803218733451,2.8760840000359167,34.376819000044634,92.375,0.10654613740039923,0.013318267175049903,5,6,7,8,9,20,34,34,34,34,34
GET,/get_data/12,98,0,5,5.945965224513277,3.1069380002008984,28.16205399994942,98.0,0.1631487728943613,0.0,5,6,6,7,8,12,17,28,28,28,28
GET,/get_data/120,76,14,5,7.304101328929248,2.8984679997847707,38.09642999976859,90.05263157894737,0.12652353816297407,0.023306967556337328,5,7,8,9,12,21,26,38,38,38,38
GET,/get_data/121,75,10,5,6.203301759990912,2.8989409993300796,32.15105500021309,91.93333333333334,0.12485875476609284,0.01664783396881238,5,6,7,7,8,12,23,32,32,32,32
GET,/get_data/122,77,12,6,6.103686415596488,3.061375000015687,21.46497299963812,92.42857142857143,0.12818832155985532,0.019977400762574853,6,6,7,7,9,12,13,21,21,21,21
GET,/get_data/123,80,13,5,6.929243362503712,2.909951999754412,64.71487599992543,91.225,0.13318267175049903,0.021642184159456093,5,6,6,7,11,20,29,65,65,65,65
GET,/get_data/124,62,7,6,6.670932274192315,2.974445999825548,41.50049000054423,93.90322580645162,0.10321657060663675,0.011653483778168664,6,6,7,7,8,14,18,42,42,42,42
GET,/get_data/125,77,19,5,5.538747909148307,3.0215490005502943,14.615517000493128,86.67532467532467,0.12818832155985532,0.03163088454074352,5,6,6,6,8,11,12,15,15,15,15
GET,/get_data/126,54,7,5,6.73546400000507,2.656597999703081,37.28961200067715,93.0,0.08989830343158685,0.011653483778168664,5,6,6,7,10,19,20,37,37,37,37
GET,/get_data/127,68,7,5,6.304665602944143,3.0439250003837515,32.23837400037155,92.6470588235294,0.11320527098792417,0.011653483778168664,5,6,7,7,9,11,12,32,32,32,32
GET,/get_data/128,79,11,5,5.978431316421687,2.649313999881997,21.380851000230905,92.48101265822785,0.1315178883536178,0.018312617365693618,5,6,7,7,9,10,16,21,21,21,21
GET,/get_data/129,67,9,5,6.891817089547373,3.3499959999971907,37.09356400031538,91.88059701492537,0.11154048759104293,0.01498305057193114,5,6,7,8,9,14,28,37,37,37,37
GET,/get_data/13,103,0,5,5.361083873740603,2.7545670000108657,15.062163000038709,98.0,0.1714726898787675,0.0,5,5,6,6,8,9,13,14,15,15,15
GET,/get_data/130,64,12,5,5.928465999986088,2.77674000017214,14.086657000007108,89.875,0.10654613740039923,0.019977400762574853,5,6,7,8,10,11,13,14,14,14,14
GET,/get_data/131,79,14,5,5.947428531611347,2.9941500001768873,16.9327839998914,89.60759493670886,0.1315178883536178,0.023306967556337328,5,6,7,7,9,10,15,17,17,17,17
GET,/get_data/132,60,7,5,6.738864799960235,2.944757000022946,39.01177900024777,94.58333333333333,0.09988700381287427,0.011653483778168664,5,5,6,7,8,22,31,39,39,39,39
GET,/get_data/133,77,13,6,6.672250233793432,3.057023000110348,26.353802999437903,90.05194805194805,0.12818832155985532,0.021642184159456093,6,7,8,8,10,15,22,26,26,26,26
GET,/get_data/134,66,10,5,6.596816757571629,2.8857130000687903,34.44297799978813,92.66666666666667,0.1098757041941617,0.01664783396881238,5,6,7,7,9,14,25,34,34,34,34
GET,/get_data/135,73,15,5,6.477793904096335,2.841145999809669,33.49408600024617,88.9041095890411,0.12152918797233037,0.024971750953218567,5,7,7,8,9,12,14,33,33,33,33
GET,/get_data/136,60,14,5,6.955419400022341,3.0401280000660336,38.29194700028893,88.16666666666667,0.09988700381287427,0.023306967556337328,5,6,8,8,11,17,18,38,38,38,38
GET,/get_data/137,77,18,5,6.955764376654132,3.033743000287359,40.40875100054109,87.37662337662337,0.12818832155985532,0.02996610114386228,5,6,7,7,13,15,35,40,40,40,40
GET,/get_data/138,73,18,5,6.290374287700989,2.96865699965565,30.92574800029979,86.68493150684931,0.12152918797233037,0.02996610114386228,5,6,7,7,8,12,22,31,31,31,31
GET,/get_data/139,70,12,5,6.516836714276256,3.0989530000624654,24.314441999649716,91.57142857142857,0.11653483778168665,0.019977400762574853,5,6,7,8,10,16,18,24,24,24,24
