Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get_data/1,117,0,12,21.586562649563582,6.457915999817487,136.93124199926388,86.0,0.19484557439527436,0.0,12,16,21,25,49,87,100,110,140,140,140
GET,/get_data/10,105,0,12,19.85127320002946,7.18562199972439,117.09458800032735,113.0,0.17486141291883597,0.0,12,17,22,29,41,54,77,81,120,120,120
GET,/get_data/100,74,4,13,25.59260275674623,6.483168000158912,162.9481890004172,111.27027027027027,0.12323566243803678,0.006661387158812799,13,17,24,29,64,92,160,160,160,160,160
GET,/get_data/101,74,4,14,22.991858391857956,6.765025000277092,151.85854200035465,110.32432432432432,0.12323566243803678,0.006661387158812799,14,18,22,26,49,63,140,150,150,150,150
GET,/get_data/102,79,7,14,26.7385027594956,6.56308399993577,197.03149199995096,108.88607594936708,0.1315623963865528,0.011657427527922398,14,23,31,38,63,100,120,200,200,200,200
GET,/get_data/103,60,5,12,25.11462331670676,6.562913000379922,135.12333000016952,108.33333333333333,0.09992080738219199,0.008326733948516,12,17,25,27,83,130,130,140,140,140,140
GET,/get_data/104,85,7,16,25.066419176469292,6.7393079998510075,171.4526539999497,107.48235294117647,0.14155447712477198,0.011657427527922398,16,21,26,33,53,68,140,170,170,170,170
GET,/get_data/105,78,7,16,21.827718999993987,6.485410000095726,127.67106499995862,109.71794871794872,0.12989704959684958,0.011657427527922398,16,20,24,25,40,58,85,130,130,130,130
GET,/get_data/106,71,9,16,23.071851464804457,7.098833999407361,137.1396350004943,106.25352112676056,0.11823962206892719,0.014988121107328797,16,20,24,25,46,69,110,140,140,140,140
GET,/get_data/107,90,9,14,25.549501633294213,6.143642000097316,136.99540499965224,107.2,0.14988121107328797,0.014988121107328797,14,19,29,40,69,81,120,140,140,140,140
GET,/get_data/108,72,5,15,24.926127513847657,6.476438999925449,134.25757400000293,109.27777777777777,0.11990496885863038,0.008326733948516,16,21,24,34,53,81,120,130,130,130,130
GET,/get_data/109,76,15,13,21.049662513130322,6.497849999959726,192.0497390001401,100.57894736842105,0.12656635601744318,0.024980201845547997,13,17,23,25,40,65,84,190,190,190,190
GET,/get_data/11,99,0,14,20.867328999976063,6.9267940002646355,90.76204299981327,115.0,0.16486933218061678,0.0,14,19,25,30,44,60,84,91,91,91,91
GET,/get_data/110,71,9,17,20.572744140864273,6.600393999633525,117.93761500030087,105.38028169014085,0.11823962206892719,0.014988121107328797,17,19,23,24,36,47,51,120,120,120,120
GET,/get_data/111,81,9,14,23.24878907410617,6.865174000267871,161.5133909999713,108.22222222222223,0.13489308996595917,0.014988121107328797,14,19,24,33,49,62,97,160,160,160,160
GET,/get_data/112,71,10,13,21.33412794366552,7.087273000252026,134.06197800031805,104.4225352112676,0.11823962206892719,0.016653467897032,13,17,23,26,43,60,84,130,130,130,130
GET,/get_data/113,98,11,15,24.534883142840563,6.764373000351043,122.651269999551,106.36734693877551,0.16320398539091358,0.018318814686735196,15,20,27,32,51,94,110,120,120,120,120
GET,/get_data/114,93,6,17,23.779279688217986,6.796562000090489,120.94053099963276,108.6774193548387,0.15487725144239758,0.009992080738219198,17,21,26,32,45,71,100,120,120,120,120
GET,/get_data/115,76,7,15,25.236907368390636,6.599793000077625,151.20241600016016,107.73684210526316,0.12656635601744318,0.011657427527922398,16,22,30,33,64,79,84,150,150,150,150
GET,/get_data/116,67,10,16,26.253680865628763,7.010681999872759,143.53973000015685,104.70149253731343,0.11157823491011438,0.016653467897032,16,25,30,39,60,66,100,140,140,140,140
GET,/get_data/117,84,9,14,19.508046654740003,6.782843000110006,110.7556110000587,106.71428571428571,0.13988913033506878,0.014988121107328797,14,18,22,24,38,47,63,110,110,110,110
GET,/get_data/118,77,11,14,22.780824857145255,6.547765000050276,106.22415299985732,105.14285714285714,0.12823170280714638,0.018318814686735196,14,21,25,30,53,71,82,110,110,110,110
GET,/get_data/119,63,13,15,24.442969158689454,7.087992999913695,121.45498399968346,101.55555555555556,0.10491684775130158,0.021649508266141596,15,19,32,35,56,64,120,120,120,120,120
GET,/get_data/12,93,0,12,20.674040655908307,6.7292009998709545,109.85176399981356,116.0,0.15487725144239758,0.0,12,15,23,27,42,65,110,110,110,110,110
GET,/get_data/120,72,9,14,21.614730111088598,6.5884539999387925,107.04873299982864,106.375,0.11990496885863038,0.014988121107328797,15,21,27,28,37,66,92,110,110,110,110
GET,/get_data/121,74,13,12,18.968490540558108,6.355225999868708,88.2829679999304,102.05405405405405,0.12323566243803678,0.021649508266141596,12,17,21,26,40,47,82,88,88,88,88
GET,/get_data/122,68,10,15,24.313031308813205,6.747155000084604,117.31271100052254,104.0,0.11324358169981757,0.016653467897032,16,22,27,33,54,90,110,120,120,120,120
GET,/get_data/123,75,16,13,20.08644125335195,6.527666999772919,92.27447700004632,99.49333333333334,0.12490100922773997,0.026645548635251197,13,17,21,27,48,57,75,92,92,92,92
GET,/get_data/124,75,10,15,23.564287533360282,6.794180000269989,122.60044300001027,104.93333333333334,0.12490100922773997,0.016653467897032,15,23,27,30,44,66,120,120,120,120,120
GET,/get_data/125,73,11,14,24.036747041083974,6.432927999867388,134.62550999975065,105.45205479452055,0.12157031564833358,0.018318814686735196,14,21,31,33,51,79,87,130,130,130,130
GET,/get_data/126,74,11,13,19.58216794600589,6.646068000009109,83.79802299987205,104.74324324324324,0.12323566243803678,0.018318814686735196,14,17,19,24,44,63,81,84,84,84,84
GET,/get_data/127,73,7,18,22.97264901370946,6.63811699996586,117.48010199971759,108.38356164383562,0.12157031564833358,0.011657427527922398,18,23,26,29,46,61,91,120,120,120,120
GET,/get_data/128,76,11,13,25.035351078934966,6.910658999913721,198.62295999973867,104.15789473684211,0.12656635601744318,0.018318814686735196,13,18,21,25,64,93,170,200,200,200,200
GET,/get_data/129,83,9,15,24.940117397604862,7.062984999720356,147.01072800016846,107.51807228915662,0.13822378354536557,0.014988121107328797,15,19,23,33,59,68,140,150,150,150,150
GET,/get_data/13,113,0,14,22.83013085838143,6.42974399988816,215.23696899930655,115.0,0.18818418723646158,0.0,14,19,22,26,47,67,99,160,220,220,220
GET,/get_data/130,69,11,15,23.782860782632824,6.969045999994705,127.35646400005862,103.15942028985508,0.11490892848952078,0.018318814686735196,15,21,24,30,45,89,100,130,130,130,130
GET,/get_data/131,68,4,23,28.319804250004918,6.8512560001181555,120.97494400040887,111.88235294117646,0.11324358169981757,0.006661387158812799,24,28,36,40,65,68,93,120,120,120,120
GET,/get_data/132,67,11,14,28.013367209007527,7.2979679998752545,177.67258099956962,103.67164179104478,0.11157823491011438,0.018318814686735196,14,22,28,35,48,110,180,180,180,180,180
GET,/get_data/133,69,10,15,20.48608898547937,7.070304000080796,132.50357800006896,105.0,0.11490892848952078,0.016653467897032,15,17,21,26,36,56,87,130,130,130,130
GET,/get_data/134,61,9,14,22.416780901650903,6.504887000119197,109.12742300024547,103.9672131147541,0.10158615417189518,0.014988121107328797,14,20,26,32,42,69,88,110,110,110,110
GET,/get_data/135,72,10,17,26.631401638913605,6.573287000264827,137.3505120000118,104.55555555555556,0.11990496885863038,0.016653467897032,17,23,30,35,54,99,120,140,140,140,140
GET,/get_data/136,65,8,13,20.820758830779177,7.05500200001552,101.26222300004883,105.63076923076923,0.10824754133070798,0.013322774317625598,13,18,20,28,42,57,100,100,100,100,100
GET,/get_data/137,71,8,13,17.353481661994522,6.418030000077124,47.89231800032212,107.22535211267606,0.11823962206892719,0.013322774317625598,13,17,23,26,30,39,47,48,48,48,48
GET,/get_data/138,65,11,19,26.112722476892277,7.128950999685912,116.26325999986875,102.49230769230769,0.10824754133070798,0.018318814686735196,19,26,29,40,51,72,110,120,120,120,120
GET,/get_data/139,72,15,14,23.241022958334018,6.429852000110259,140.1151480004046,99.83333333333333,0.11990496885863038,0.024980201845547997,14,24,29,30,43,71,84,140,140,140,140
GET,/get_data/14,98,0,13,17.082232377556373,6.433828999888647,91.29232899977069,115.0,0.16320398539091358,0.0,13,15,18,21,32,47,63,91,91,91,91
GET,/get_data/140,55,13,15,22.537355145438845,6.709149000016623,95.94977699998708,99.45454545454545,0.09159407343367598,0.021649508266141596,15,21,27,30,49,61,75,96,96,96,96
GET,/get_data/141,61,9,14,22.95395860655248,6.46733600024163,91.72951300024579,104.81967213114754,0.10158615417189518,0.014988121107328797,14,20,28,31,52,68,86,92,92,92,92
GET,/get_data/142,72,11,14,22.905419861091204,7.118023999282741,119.81767599991144,104.45833333333333,0.11990496885863038,0.018318814686735196,14,21,28,30,46,71,100,120,120,120,120
GET,/get_data/143,63,10,14,23.976544650792228,6.637919999775477,114.07865400042283,103.2063492063492,0.10491684775130158,0.016653467897032,14,19,23,31,66,72,86,110,110,110,110
GET,/get_data/144,70,14,14,22.502454285703216,7.364152000263857,147.6856389999739,101.2,0.11657427527922398,0.023314855055844796,14,19,24,28,47,76,110,150,150,150,150
GET,/get_data/145,67,12,14,21.682459044755046,6.922679000126664,95.16310599974531,102.64179104477611,0.11157823491011438,0.019984161476438396,14,21,25,27,36,59,89,95,95,95,95
GET,/get_data/146,50,16,13,21.45173245994556,6.780036999771255,115.72904199965706,92.24,0.08326733948515999,0.026645548635251197,13,18,21,27,58,67,120,120,120,120,120
GET,/get_data/147,68,9,18,23.917952470563197,5.792258999917976,142.4340429998665,105.86764705882354,0.11324358169981757,0.014988121107328797,19,23,28,29,46,59,78,140,140,140,140
GET,/get_data/148,73,19,14,24.65376647947554,6.5876930002559675,170.144018999963,97.04109589041096,0.12157031564833358,0.031641589004360794,14,25,32,33,51,58,100,170,170,170,170
GET,/get_data/149,61,8,18,26.08053954098396,7.559485999991011,111.89853899986701,105.95081967213115,0.10158615417189518,0.013322774317625598,18,25,28,30,59,74,89,110,110,110,110
GET,/get_data/15,107,0,13,20.97515991589776,6.260068000301544,134.12938200008284,115.0,0.17819210649824238,0.0,13,17,21,24,41,59,110,110,130,130,130
GET,/get_data/150,72,14,16,24.05340175001432,6.834589999925811,148.9305159993819,100.77777777777777,0.11990496885863038,0.023314855055844796,16,22,26,31,56,70,91,150,150,150,150
GET,/get_data/151,51,11,17,27.594044097975925,6.259484000111115,108.10055000001739,100.90196078431373,0.08493268627486318,0.018318814686735196,17,26,32,41,67,90,96,110,110,110,110
GET,/get_data/152,67,11,17,22.11055928359907,6.208642000274267,77.00226100041618,101.16417910447761,0.11157823491011438,0.018318814686735196,17,21,27,29,39,67,75,77,77,77,77
GET,/get_data/153,61,8,18,26.38160159021489,6.4478530002816115,111.6085970002132,105.95081967213115,0.10158615417189518,0.013322774317625598,18,28,37,40,53,58,83,110,110,110,110
GET,/get_data/154,57,9,15,21.754613298254984,6.798791000619531,116.07458700018469,103.26315789473684,0.09492476701308239,0.014988121107328797,15,22,25,28,35,62,79,120,120,120,120
GET,/get_data/155,59,16,16,27.728792711876217,6.412937999812129,154.06020799946418,94.83050847457628,0.09825546059248878,0.026645548635251197,16,23,35,40,55,110,130,150,150,150,150
GET,/get_data/156,71,12,16,24.51357145072904,6.643897000230936,164.17529699992883,102.50704225352112,0.11823962206892719,0.019984161476438396,16,22,27,30,49,64,160,160,160,160,160
GET,/get_data/157,68,13,16,25.567848352987795,6.743729999925563,162.73680599988438,101.80882352941177,0.11324358169981757,0.021649508266141596,16,23,30,36,53,58,87,160,160,160,160
GET,/get_data/158,67,17,16,29.75743644776176,7.041507000394631,186.7352369999935,97.49253731343283,0.11157823491011438,0.028310895424954394,16,23,29,35,92,110,160,190,190,190,190
GET,/get_data/159,62,9,17,23.35842914514556,7.122404999790888,149.7039699997913,104.12903225806451,0.10325150096159838,0.014988121107328797,17,22,27,28,41,56,67,150,150,150,150
GET,/get_data/16,101,0,12,21.113015158424798,6.499781000002258,142.46338599969022,115.0,0.16820002576002316,0.0,12,15,21,25,46,73,93,95,140,140,140
GET,/get_data/160,57,16,18,26.671384947388887,6.74321700080327,126.86752899981002,94.91228070175438,0.09492476701308239,0.026645548635251197,18,24,28,34,65,94,97,130,130,130,130
GET,/get_data/161,67,13,16,26.40439689553408,6.64730900007271,116.61562000062986,101.61194029850746,0.11157823491011438,0.021649508266141596,16,22,28,34,63,98,100,120,120,120,120
GET,/get_data/162,65,10,15,29.597380138434694,7.249736000176199,193.3835829995587,105.23076923076923,0.10824754133070798,0.016653467897032,15,23,36,43,80,84,150,190,190,190,190
GET,/get_data/163,67,12,15,22.860235477635985,6.843286000275839,136.15168000023914,102.64179104477611,0.11157823491011438,0.019984161476438396,15,20,24,26,48,73,88,140,140,140,140
GET,/get_data/164,51,9,14,24.586341607814308,6.371439999838913,165.0018230002388,101.17647058823529,0.08493268627486318,0.014988121107328797,14,20,31,32,47,64,110,170,170,170,170
GET,/get_data/165,54,19,14,24.953526277840865,5.765317000623327,111.53186000046844,90.72222222222223,0.08992872664397278,0.031641589004360794,15,21,25,34,59,91,94,110,110,110,110
GET,/get_data/166,56,10,19,30.940587874957664,6.496751000213408,120.83101100051863,101.03571428571429,0.09325942022337919,0.016653467897032,19,25,39,41,77,99,120,120,120,120,120
GET,/get_data/167,63,17,16,20.49279131742445,6.647178000093845,104.5055089998641,95.65079365079364,0.10491684775130158,0.028310895424954394,16,20,24,27,38,44,84,100,100,100,100
GET,/get_data/168,66,18,20,31.470795484872063,6.377960000463645,198.17042399972706,94.72727272727273,0.10991288812041118,0.029976242214657594,20,24,38,41,63,99,160,200,200,200,200
GET,/get_data/169,63,15,15,26.74380953967268,6.527884000206541,158.44405699954223,97.80952380952381,0.10491684775130158,0.024980201845547997,15,22,28,37,68,80,92,160,160,160,160
GET,/get_data/17,120,0,13,24.04907488335084,6.6387049996592395,170.64922000008664,115.0,0.19984161476438397,0.0,13,20,24,34,64,80,100,150,170,170,170
GET,/get_data/170,63,13,16,26.665746174604998,6.797361999815621,155.48706000026868,99.96825396825396,0.10491684775130158,0.021649508266141596,16,21,29,33,62,74,130,160,160,160,160
GET,/get_data/171,50,10,16,21.871957639959874,6.725651999659021,74.81198000004952,101.2,0.08326733948515999,0.016653467897032,17,21,25,28,47,54,75,75,75,75,75
GET,/get_data/172,70,20,15,31.788000728628113,6.6672349998952996,218.38673999991443,93.85714285714286,0.11657427527922398,0.033306935794064,15,23,30,48,95,120,140,220,220,220,220
GET,/get_data/173,64,12,17,28.038532109384562,7.060979000016232,125.67495599978429,102.0625,0.10658219454100479,0.019984161476438396,18,26,36,41,61,72,120,130,130,130,130
GET,/get_data/174,54,14,14,20.769254537063482,6.6662389999692095,109.8061399998187,96.37037037037037,0.08992872664397278,0.023314855055844796,14,19,24,28,36,57,100,110,110,110,110
GET,/get_data/175,54,22,18,28.125128518526996,7.377332000032766,146.86066200010828,86.88888888888889,0.08992872664397278,0.03663762937347039,18,25,35,48,66,80,86,150,150,150,150
GET,/get_data/176,64,23,13,18.257612203164797,6.907721000061429,61.03909000012209,88.28125,0.10658219454100479,0.038302976163173595,13,18,23,26,33,43,58,61,61,61,61
GET,/get_data/177,45,12,17,29.305225288822434,7.387233999907039,123.4328909999931,95.86666666666666,0.07494060553664399,0.019984161476438396,17,23,35,41,53,110,120,120,120,120,120
GET,/get_data/178,49,12,18,22.2245640408745,6.430781999824831,64.50452199987922,97.34693877551021,0.08160199269545679,0.019984161476438396,18,23,28,32,37,57,65,65,65,65,65
GET,/get_data/179,69,14,15,26.142383449265594,6.845012999747269,117.47955300006652,100.20289855072464,0.11490892848952078,0.023314855055844796,15,23,29,32,78,84,120,120,120,120,120
GET,/get_data/18,93,0,13,26.053948516144825,6.488850000096136,215.9152690001065,114.0,0.15487725144239758,0.0,13,21,27,35,62,80,160,220,220,220,220
GET,/get_data/180,55,14,16,25.399349072755616,6.819328000347014,103.2236890000604,96.69090909090909,0.09159407343367598,0.023314855055844796,16,22,28,39,58,92,94,100,100,100,100
GET,/get_data/181,52,14,16,24.22935880773681,7.453005000115809,84.99445500001457,95.6923076923077,0.08659803306456638,0.023314855055844796,17,23,25,34,54,68,79,85,85,85,85
GET,/get_data/182,45,14,18,28.550543311141357,7.657107000341057,206.25065500007622,93.53333333333333,0.07494060553664399,0.023314855055844796,18,26,38,41,44,69,210,210,210,210,210
GET,/get_data/183,59,23,15,26.624226728834678,8.032151000406884,115.00917800003663,88.10169491525424,0.09825546059248878,0.038302976163173595,15,20,23,45,64,89,92,120,120,120,120
GET,/get_data/184,65,26,18,27.579552261564597,7.218441000077291,152.73825299937016,87.4,0.10824754133070798,0.04329901653228319,18,23,34,40,48,78,150,150,150,150,150
GET,/get_data/185,51,11,16,23.022526470555807,6.662598000275466,78.26935299999604,99.33333333333333,0.08493268627486318,0.018318814686735196,16,20,29,37,46,67,71,78,78,78,78
GET,/get_data/186,49,16,20,25.93374651022324,5.845488000431942,87.63200900011725,92.46938775510205,0.08160199269545679,0.026645548635251197,20,23,31,41,64,69,88,88,88,88,88
GET,/get_data/187,64,19,18,29.376968390636193,7.144820000121399,116.80903500018758,94.515625,0.10658219454100479,0.031641589004360794,18,24,31,41,72,110,110,120,120,120,120
GET,/get_data/188,47,15,20,30.446087212818927,7.301389000076597,141.56159300000581,92.29787234042553,0.07827129911605038,0.024980201845547997,20,26,33,39,73,90,140,140,140,140,140
GET,/get_data/189,61,22,16,21.733275180372775,6.779606999771204,108.94634000032966,90.75409836065573,0.10158615417189518,0.03663762937347039,16,20,23,24,42,55,91,110,110,110,110
GET,/get_data/19,97,0,13,20.34751527828552,6.448594999710622,157.51538799941045,114.0,0.16153863860121037,0.0,13,16,20,22,44,76,89,160,160,160,160
GET,/get_data/190,53,15,15,24.11345196226665,6.397840999852633,82.59056799988684,96.18867924528301,0.08826337985426959,0.024980201845547997,15,23,28,38,60,68,71,83,83,83,83
GET,/get_data/191,52,24,16,25.26611201929322,7.1235760001400195,106.34204800044245,83.15384615384616,0.08659803306456638,0.03996832295287679,16,23,32,36,50,83,84,110,110,110,110
GET,/get_data/192,58,16,19,28.852960241387148,6.013209999764513,94.45262700046442,95.24137931034483,0.09659011380278558,0.026645548635251197,20,34,44,52,63,72,73,94,94,94,94
GET,/get_data/193,56,16,14,25.61750371431312,7.54272599988326,157.00434900008986,95.28571428571429,0.09325942022337919,0.026645548635251197,14,23,29,30,37,110,150,160,160,160,160
GET,/get_data/194,62,23,21,30.385517774220716,7.042735000140965,166.9390580000254,87.51612903225806,0.10325150096159838,0.038302976163173595,22,29,36,44,62,81,100,170,170,170,170
GET,/get_data/195,59,21,15,23.231202440695334,7.134434999898076,139.93245299934642,89.15254237288136,0.09825546059248878,0.034972282583767195,15,20,24,29,45,75,78,140,140,140,140
GET,/get_data/196,42,12,15,20.98126861902269,7.78228199988007,92.48932099944795,95.28571428571429,0.06994456516753439,0.019984161476438396,15,22,23,25,40,45,92,92,92,92,92
GET,/get_data/197,49,19,21,28.178357857188754,7.123091999801545,95.20667600008892,88.24489795918367,0.08160199269545679,0.031641589004360794,21,28,34,46,55,86,95,95,95,95,95
GET,/get_data/198,42,13,19,31.345593952372447,7.3393379998378805,157.26264800014178,93.64285714285714,0.06994456516753439,0.021649508266141596,19,26,40,41,63,91,160,160,160,160,160
GET,/get_data/199,53,17,16,20.088035075478164,6.892069000059564,63.31228999988525,91.50943396226415,0.08826337985426959,0.028310895424954394,16,21,24,25,36,57,62,63,63,63,63
GET,/get_data/2,89,0,13,18.317612550551498,6.119014999967476,81.6942649998964,115.0,0.14821586428358477,0.0,13,16,21,23,40,52,76,82,82,82,82
GET,/get_data/20,114,0,13,17.9279107017249,6.480909999936557,109.94723699968745,116.0,0.18984953402616478,0.0,13,16,18,21,31,48,67,69,110,110,110
GET,/get_data/200,57,15,15,23.153858035081946,6.412934999389108,147.51055099986843,96.84210526315789,0.09492476701308239,0.024980201845547997,15,20,26,31,40,87,98,150,150,150,150
GET,/get_data/201,54,15,15,23.14082072221195,6.699194999782776,70.81592499980616,95.11111111111111,0.08992872664397278,0.024980201845547997,16,23,29,35,52,66,71,71,71,71,71
GET,/get_data/202,53,17,16,27.90435626407346,6.960826999602432,185.88511999951152,92.86792452830188,0.08826337985426959,0.028310895424954394,16,23,31,37,45,83,140,190,190,190,190
GET,/get_data/203,54,15,17,24.40698100001639,6.630524999309273,90.8297579999271,95.83333333333333,0.08992872664397278,0.024980201845547997,18,24,33,35,50,81,87,91,91,91,91
GET,/get_data/204,50,19,17,30.577030920012476,6.748037999841472,124.78836700029206,88.78,0.08326733948515999,0.031641589004360794,18,31,38,46,85,96,120,120,120,120,120
GET,/get_data/205,51,20,14,25.042457490162278,7.442959000400151,130.20746700021846,87.94117647058823,0.08493268627486318,0.033306935794064,14,23,32,36,65,76,79,130,130,130,130
GET,/get_data/206,39,14,21,35.254263717946834,6.582759000139049,126.91427400022803,90.23076923076923,0.06494852479842479,0.023314855055844796,21,34,53,64,82,120,130,130,130,130,130
GET,/get_data/207,35,8,14,22.846447599931707,7.693246999679104,83.2517340004415,99.22857142857143,0.05828713763961199,0.013322774317625598,14,20,24,41,59,80,83,83,83,83,83
GET,/get_data/208,53,21,16,20.222319415123184,7.778469999720983,121.97032800031593,87.66037735849056,0.08826337985426959,0.034972282583767195,16,21,24,26,30,42,54,120,120,120,120
GET,/get_data/209,53,28,17,27.17371279247328,6.440595999720244,119.83385500025179,78.0754716981132,0.08826337985426959,0.04662971011168959,17,25,35,37,55,79,110,120,120,120,120
GET,/get_data/21,104,0,13,23.342796317347865,6.743094999819732,155.46465600073134,115.0,0.17319606612913277,0.0,13,17,21,29,50,72,130,150,160,160,160
GET,/get_data/210,63,21,16,27.419054619013114,7.344089000071108,127.91451499924733,92.0,0.10491684775130158,0.034972282583767195,16,26,31,40,58,89,120,130,130,130,130
GET,/get_data/211,58,24,18,27.31908172413098,6.609716000184562,146.82595999965997,84.6896551724138,0.09659011380278558,0.03996832295287679,19,26,32,35,59,92,97,150,150,150,150
GET,/get_data/212,47,18,16,25.078436106333413,6.747851999989507,96.05548600029579,89.19148936170212,0.07827129911605038,0.029976242214657594,16,23,30,36,57,80,96,96,96,96,96
GET,/get_data/213,33,17,15,29.932450878773537,8.28302599984454,160.66277500021897,79.93939393939394,0.05495644406020559,0.028310895424954394,15,23,29,38,76,100,160,160,160,160,160
GET,/get_data/214,53,17,19,30.971457622699916,6.863932000214845,128.40745399989828,91.50943396226415,0.08826337985426959,0.028310895424954394,19,24,29,51,77,95,100,130,130,130,130
GET,/get_data/215,50,20,16,24.193294279975817,7.069536000017251,83.41293299963581,87.4,0.08326733948515999,0.033306935794064,18,22,27,39,56,68,83,83,83,83,83
GET,/get_data/216,51,18,17,26.716043843166783,7.029092000266246,104.67320299994753,90.6470588235294,0.08493268627486318,0.029976242214657594,17,20,35,41,69,77,98,100,100,100,100
GET,/get_data/217,47,22,20,30.113496702161935,7.2545450002508005,192.63312900056917,82.70212765957447,0.07827129911605038,0.03663762937347039,20,27,31,38,57,91,190,190,190,190,190
GET,/get_data/218,53,20,17,25.415548622628915,8.572196000386612,101.03811000044516,88.9622641509434,0.08826337985426959,0.033306935794064,17,23,33,40,51,66,75,100,100,100,100
GET,/get_data/219,45,22,17,24.276436444526755,7.286837000265223,79.46108299984189,81.77777777777777,0.07494060553664399,0.03663762937347039,17,28,34,39,56,59,79,79,79,79,79
GET,/get_data/22,105,0,13,18.418510333356693,6.2984480000523035,77.22546300010436,114.0,0.17486141291883597,0.0,13,16,20,24,38,50,61,63,77,77,77
GET,/get_data/220,44,22,16,25.59404831824643,6.818331999966176,82.80031100002816,80.5,0.07327525874694078,0.03663762937347039,19,30,40,43,53,64,83,83,83,83,83
GET,/get_data/221,41,15,18,23.786661707285152,7.591280000269762,92.35388300021441,89.1219512195122,0.06827921837783119,0.024980201845547997,18,23,31,34,38,56,92,92,92,92,92
GET,/get_data/222,52,29,20,26.467903692220645,8.532342000762583,94.29150599999048,76.07692307692308,0.08659803306456638,0.04829505690139279,21,25,34,37,47,74,78,94,94,94,94
GET,/get_data/223,39,20,16,21.943250564128483,8.218594000027224,54.81616399993072,79.12820512820512,0.06494852479842479,0.033306935794064,16,23,27,38,44,52,55,55,55,55,55
GET,/get_data/224,41,17,18,23.849561390295825,7.914294000329392,78.4291029999622,85.21951219512195,0.06827921837783119,0.028310895424954394,18,21,30,36,46,59,78,78,78,78,78
GET,/get_data/225,43,24,18,26.092152232480615,7.227760999739985,106.37789800011888,76.48837209302326,0.07160991195723759,0.03996832295287679,18,27,35,37,50,72,110,110,110,110,110
GET,/get_data/226,45,16,20,26.78192468888988,7.639458999619819,113.21490200043627,89.82222222222222,0.07494060553664399,0.026645548635251197,20,26,30,37,64,86,110,110,110,110,110
GET,/get_data/227,38,23,20,33.584547263217246,8.343979000073887,171.31705000065267,72.84210526315789,0.06328317800872159,0.038302976163173595,21,27,38,50,84,100,170,170,170,170,170
GET,/get_data/228,52,33,18,25.186018019229987,8.011307999822748,86.26472299965826,71.21153846153847,0.08659803306456638,0.05495644406020559,18,23,32,37,51,64,80,86,86,86,86
GET,/get_data/229,52,19,16,23.76863548070455,6.654289999460161,127.76990699967428,90.42307692307692,0.08659803306456638,0.031641589004360794,16,22,27,34,49,61,64,130,130,130,130
GET,/get_data/23,74,0,12,21.992336499991055,6.557412999882217,135.8630839995385,113.0,0.12323566243803678,0.0,12,15,17,26,54,88,90,140,140,140,140
GET,/get_data/230,49,27,22,26.498841489776204,6.973346000449965,73.53435200002423,76.53061224489795,0.08160199269545679,0.04496436332198639,22,28,33,41,54,64,74,74,74,74,74
GET,/get_data/231,44,26,15,21.058829545443754,6.85612500001298,87.90333299975828,74.63636363636364,0.07327525874694078,0.04329901653228319,15,19,26,28,34,76,88,88,88,88,88
GET,/get_data/232,37,16,20,33.08733643240664,6.558074000167835,160.17235500021343,84.5945945945946,0.06161783121901839,0.026645548635251197,20,33,45,54,81,100,160,160,160,160,160
GET,/get_data/233,40,24,19,31.224457150096896,6.63918600002944,207.67976299976,74.0,0.066613871588128,0.03996832295287679,20,24,35,44,84,92,210,210,210,210,210
GET,/get_data/234,43,20,20,32.19632832558493,7.702404000156093,142.62763500028086,81.83720930232558,0.07160991195723759,0.033306935794064,20,28,42,51,69,83,140,140,140,140,140
