Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get_data/1,108,0,13,22.51094570368861,6.248629999845434,145.8291429999008,85.0,0.17981692542589262,0.0,13,18,24,26,51,68,94,130,150,150,150
GET,/get_data/10,101,0,12,20.66122871292914,6.554055999913544,171.46863500056497,114.0,0.168162124703844,0.0,12,15,22,28,42,58,88,95,170,170,170
GET,/get_data/100,71,8,14,20.840031845054142,7.144833999518596,88.33449200028554,106.33802816901408,0.11821297875220718,0.013319772253769823,14,18,24,28,42,58,70,88,88,88,88
GET,/get_data/101,84,8,20,27.527697821423793,6.37090200007151,164.23111299991433,106.61904761904762,0.13985760866458313,0.013319772253769823,20,29,35,40,60,74,80,160,160,160,160
GET,/get_data/102,75,8,17,24.01082065328713,6.911878000209981,124.53236500005005,107.64,0.12487286487909209,0.013319772253769823,17,21,27,31,48,77,110,120,120,120,120
GET,/get_data/103,83,7,14,22.717396433722296,7.223218999570236,149.42006899946136,109.18072289156626,0.13819263713286192,0.011654800722048594,14,19,23,26,45,73,140,150,150,150,150
GET,/get_data/104,86,10,13,21.391810407024867,6.892938999953913,152.69491000071866,106.09302325581395,0.1431875517280256,0.01664971531721228,13,18,27,30,41,56,95,150,150,150,150
GET,/get_data/105,83,11,14,26.97220026506198,6.954963999760366,139.80949999950099,105.855421686747,0.13819263713286192,0.018314686848933507,14,21,30,40,69,76,130,140,140,140,140
GET,/get_data/106,62,10,14,24.145164870890678,6.542216999605444,98.04812999936985,103.87096774193549,0.10322823496671613,0.01664971531721228,15,19,26,37,63,75,91,98,98,98,98
GET,/get_data/107,86,9,15,22.79257977911161,6.578804000128002,105.7573730004151,107.77906976744185,0.1431875517280256,0.01498474378549105,15,21,30,35,50,59,75,110,110,110,110
GET,/get_data/108,90,7,15,25.113015000013345,6.439973999931681,130.7898209997802,108.71111111111111,0.1498474378549105,0.011654800722048594,16,22,30,37,49,85,130,130,130,130,130
GET,/get_data/109,76,9,13,20.50903873680454,6.842537999546039,93.56245900016802,105.94736842105263,0.12653783641081331,0.01498474378549105,13,18,24,26,45,66,74,94,94,94,94
GET,/get_data/11,98,0,13,20.02079580615271,6.879381000089779,127.85427299968433,115.0,0.16316721010868032,0.0,13,17,19,22,38,56,130,130,130,130,130
GET,/get_data/110,62,11,13,17.92656491933221,7.289570000466483,87.9993819999072,102.75806451612904,0.10322823496671613,0.018314686848933507,13,17,20,23,27,47,57,88,88,88,88
GET,/get_data/111,73,4,18,25.147924150668626,6.464208000124927,134.53405000018392,109.32876712328768,0.12154292181564963,0.006659886126884912,18,22,26,29,48,78,100,130,130,130,130
GET,/get_data/112,67,7,14,20.005204268639304,6.794856999931653,109.51112000020657,107.7910447761194,0.11155309262532226,0.011654800722048594,14,19,20,23,33,54,85,110,110,110,110
GET,/get_data/113,78,10,14,22.697980487132206,6.284135999521823,99.69918200022221,105.28205128205128,0.12986777947425576,0.01664971531721228,14,22,27,33,49,58,90,100,100,100,100
GET,/get_data/114,71,13,13,22.284798859185635,7.323495000036928,117.92928999966534,101.54929577464789,0.11821297875220718,0.02164462991237596,13,18,21,22,45,81,110,120,120,120,120
GET,/get_data/115,59,8,16,23.27008118648383,7.033742999738024,104.16235400043661,105.64406779661017,0.09823332037155244,0.013319772253769823,16,23,28,30,48,78,89,100,100,100,100
GET,/get_data/116,93,12,13,20.579576946255003,6.654009000158112,152.44600200003333,105.2258064516129,0.1548423524500742,0.019979658380654734,13,19,22,27,41,51,100,150,150,150,150
GET,/get_data/117,84,15,15,25.561531749991403,7.358757000019978,144.52266200078157,102.67857142857143,0.13985760866458313,0.024974572975818416,15,21,29,36,57,79,130,140,140,140,140
GET,/get_data/118,71,13,14,24.501557760590337,6.971163999878627,109.38791400030823,100.73239436619718,0.11821297875220718,0.02164462991237596,14,19,26,34,58,92,95,110,110,110,110
GET,/get_data/119,84,10,16,20.799885083338918,6.609748999835574,85.90836399980617,105.9047619047619,0.13985760866458313,0.01664971531721228,16,23,27,29,39,45,61,86,86,86,86
GET,/get_data/12,107,0,14,22.464779906577206,7.0644430002175795,160.33927300031792,112.0,0.17815195389417138,0.0,14,23,26,27,41,76,91,100,160,160,160
GET,/get_data/120,82,11,15,25.581389707312844,6.419892999929289,109.10512299960828,105.7439024390244,0.13652766560114069,0.018314686848933507,15,20,26,29,70,83,110,110,110,110,110
GET,/get_data/121,77,9,13,19.49712093510125,6.807855000261043,100.05097699922771,105.16883116883118,0.12820280794253455,0.01498474378549105,13,18,21,23,38,60,97,100,100,100,100
GET,/get_data/122,74,11,15,21.211858054050175,6.283290999817837,112.96666499947605,103.89189189189189,0.12320789334737087,0.018314686848933507,15,20,24,28,36,54,110,110,110,110,110
GET,/get_data/123,61,7,14,20.00071388523733,7.338649000303121,97.45423099957407,107.08196721311475,0.1015632634349949,0.011654800722048594,14,16,20,22,40,52,78,97,97,97,97
GET,/get_data/124,57,7,15,23.19150847367717,7.120713999938744,177.67247700066946,105.64912280701755,0.09490337730810999,0.011654800722048594,15,22,25,28,36,76,93,180,180,180,180
GET,/get_data/125,77,11,15,25.456276298729033,6.6971160003959085,178.9537399999972,103.42857142857143,0.12820280794253455,0.018314686848933507,15,21,29,35,56,81,92,180,180,180,180
GET,/get_data/126,74,12,16,30.979017499998303,6.8562259998543595,190.67644400001882,103.8108108108108,0.12320789334737087,0.019979658380654734,16,25,40,52,68,96,100,190,190,190,190
GET,/get_data/127,61,13,17,22.55850098365164,6.497516999843356,68.51136700015559,98.72131147540983,0.1015632634349949,0.02164462991237596,17,24,27,36,47,55,59,69,69,69,69
GET,/get_data/128,75,11,14,21.745073719951808,6.541808999827481,119.38917899988155,104.02666666666667,0.12487286487909209,0.018314686848933507,14,20,24,29,51,59,78,120,120,120,120
GET,/get_data/129,90,14,15,21.910203677786438,6.228710999948817,141.81291600016266,103.42222222222222,0.1498474378549105,0.02330960144409719,15,20,24,27,40,64,110,140,140,140,140
GET,/get_data/13,118,0,13,20.44013698302047,6.60319000007803,72.16156999993473,112.0,0.19646664074310488,0.0,13,19,25,29,45,58,64,70,72,72,72
GET,/get_data/130,79,23,14,21.82785212664408,6.6631520003284095,133.05392100028257,94.9113924050633,0.131532751005977,0.03829434522958824,14,19,24,27,49,57,110,130,130,130,130
GET,/get_data/131,68,11,14,21.862119823588408,7.397693000257277,142.1223170000303,103.0,0.1132180641570435,0.018314686848933507,14,18,23,24,40,67,120,140,140,140,140
GET,/get_data/132,64,13,14,19.8091096562365,7.07561999979589,90.44227899994439,100.1875,0.10655817803015859,0.02164462991237596,14,20,25,28,37,48,51,90,90,90,90
GET,/get_data/133,57,5,16,24.029999350946845,6.89743599969006,126.15075999974579,108.03508771929825,0.09490337730810999,0.00832485765860614,16,20,27,32,55,69,83,130,130,130,130
