Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get_data/1,159,0,5,6.341754496854676,3.019129000222165,47.446012000364135,69.0,0.18311942001278889,0.0,5,6,7,7,9,11,18,27,47,47,47
GET,/get_data/10,138,0,5,6.689813775348897,2.9293690004124073,38.553976999537554,100.0,0.1589338362375149,0.0,5,6,7,8,10,15,19,29,39,39,39
GET,/get_data/100,138,6,5,6.098809536293972,2.8455550000217045,16.660535000028176,98.6086956521739,0.1589338362375149,0.00691016679293543,5,7,7,7,9,12,15,15,17,17,17
GET,/get_data/101,112,6,6,6.679895464295831,3.3465599999544793,51.4606609999646,96.16071428571429,0.1289897801347947,0.00691016679293543,6,6,7,7,9,12,17,20,51,51,51
GET,/get_data/102,134,5,5,6.666668671665429,3.158710999741743,50.46294099975057,97.98507462686567,0.15432705837555794,0.005758472327446191,5,6,7,8,9,11,33,33,50,50,50
GET,/get_data/103,99,2,6,7.060417565693882,3.0021570000826614,56.8081119999988,98.9090909090909,0.11401775208343459,0.0023033889309784766,6,6,7,7,9,18,28,57,57,57,57
GET,/get_data/104,129,9,5,6.0817488527059735,2.7417540004535113,40.563839999776974,97.16279069767442,0.14856858604811174,0.010365250189403145,5,6,7,7,8,11,15,32,41,41,41
GET,/get_data/105,120,7,6,6.857028066614627,2.8880790000584966,32.398039999861794,94.96666666666667,0.1382033358587086,0.008061861258424669,6,6,7,8,11,13,29,32,32,32,32
GET,/get_data/106,129,8,5,6.334716209321484,3.0978899999354326,17.78366400003506,95.71317829457364,0.14856858604811174,0.009213555723913906,5,6,7,7,11,13,14,16,18,18,18
GET,/get_data/107,134,11,5,6.797141298478375,3.041674999622046,52.02157999974588,95.56716417910448,0.15432705837555794,0.012668639120381622,6,6,7,7,9,11,29,42,52,52,52
GET,/get_data/108,136,12,5,6.109260213239556,2.941519000160042,29.45224699942628,96.1470588235294,0.1566304473065364,0.01382033358587086,5,6,7,7,9,10,12,29,29,29,29
GET,/get_data/109,119,7,6,7.445322705849367,2.6225159999739844,46.121984999444976,96.82352941176471,0.13705164139321938,0.008061861258424669,6,6,7,8,11,21,31,37,46,46,46
GET,/get_data/11,145,0,5,5.472082951733871,2.7196080000067013,20.16323599991665,98.0,0.16699569749593957,0.0,5,5,6,6,7,8,15,18,20,20,20
GET,/get_data/110,108,5,6,7.2572763796946065,3.1019930002003093,53.601555000113876,97.5,0.12438300227283774,0.005758472327446191,6,7,7,8,10,14,19,34,54,54,54
GET,/get_data/111,140,12,6,6.519713264304171,3.032141999938176,40.367589999732445,95.37142857142857,0.16123722516849337,0.01382033358587086,6,6,7,7,9,11,30,36,40,40,40
GET,/get_data/112,110,6,5,6.7199046909618945,2.7840580000884074,104.47483100051613,97.05454545454545,0.12668639120381622,0.00691016679293543,5,6,6,7,8,9,11,33,100,100,100
GET,/get_data/113,114,9,5,6.111211464952392,2.618902999529382,32.24720799971692,96.65789473684211,0.13129316906577318,0.010365250189403145,5,6,7,7,8,10,15,30,32,32,32
GET,/get_data/114,125,9,5,5.887083071971574,2.7269419997537625,21.05510100000174,95.184,0.14396180818615478,0.010365250189403145,5,6,6,7,8,12,14,14,21,21,21
GET,/get_data/115,111,8,6,6.437335846852433,2.6951509998980328,32.00517799996305,96.10810810810811,0.12783808566930546,0.009213555723913906,6,6,7,8,10,12,16,19,32,32,32
GET,/get_data/116,104,12,5,6.018066528794791,2.556014000219875,19.77154199994402,94.65384615384616,0.11977622441088079,0.01382033358587086,5,6,7,8,9,10,13,14,20,20,20
GET,/get_data/117,123,8,6,6.670945276369836,2.787950000310957,83.67561699924408,96.48780487804878,0.1416584192551763,0.009213555723913906,6,6,7,7,10,12,16,16,84,84,84
GET,/get_data/118,116,8,6,7.133647137920732,2.6865760000873706,59.54966100034653,97.20689655172414,0.13359655799675166,0.009213555723913906,6,6,7,7,10,16,26,30,60,60,60
GET,/get_data/119,129,10,6,6.642836015523011,3.03643799998099,68.57949699997334,95.81395348837209,0.14856858604811174,0.011516944654892383,6,6,7,7,9,11,20,23,69,69,69
GET,/get_data/12,177,0,5,5.642002887006164,2.7827409999190422,13.619729999845731,98.0,0.2038499203915952,0.0,5,6,6,7,8,10,13,13,14,14,14
GET,/get_data/120,103,11,5,6.51055297086131,3.0991659996288945,40.00849300018672,95.12621359223301,0.11862452994539155,0.012668639120381622,5,6,7,8,9,12,15,25,40,40,40
GET,/get_data/121,121,12,5,6.481196504161992,2.60292999973899,41.51010700024926,94.64462809917356,0.13935503032419783,0.01382033358587086,5,6,6,7,8,11,26,41,42,42,42
GET,/get_data/122,108,8,5,6.181401499993121,2.5818679996518767,32.70723100013129,96.0,0.12438300227283774,0.009213555723913906,5,6,7,7,8,9,13,15,33,33,33
GET,/get_data/123,139,14,6,7.045121812958353,3.0072589997871546,43.022200999985216,95.46043165467626,0.16008553070300413,0.016123722516849338,6,7,7,8,10,12,33,38,43,43,43
GET,/get_data/124,99,12,6,6.488773595917493,2.9086240001561237,37.17792899988126,93.45454545454545,0.11401775208343459,0.01382033358587086,6,7,7,7,9,10,37,37,37,37,37
GET,/get_data/125,127,9,5,6.367128740190153,2.3123869996197755,54.35400900023524,97.10236220472441,0.14626519711713326,0.010365250189403145,5,6,7,7,9,11,12,13,54,54,54
GET,/get_data/126,140,19,5,6.899566014310819,2.954455000690359,47.945832000095834,92.67142857142858,0.16123722516849337,0.02188219484429553,5,6,7,7,10,15,27,44,48,48,48
GET,/get_data/127,108,12,5,6.698273537040222,2.263304999360116,31.447446000129275,94.0,0.12438300227283774,0.01382033358587086,5,6,7,8,11,15,27,29,31,31,31
GET,/get_data/128,126,12,5,5.886661849231926,2.782111999749759,18.260345000271627,94.85714285714286,0.14511350265164402,0.01382033358587086,5,6,7,7,8,11,14,15,18,18,18
GET,/get_data/129,122,10,5,6.637206180380044,2.934126000127435,34.16232699964894,93.73770491803279,0.14050672478968707,0.011516944654892383,5,6,7,7,9,14,24,34,34,34,34
GET,/get_data/13,137,0,5,6.040918817496569,2.9416829997899185,32.80237999979363,99.0,0.15778214177202565,0.0,5,6,6,7,8,10,12,29,33,33,33
GET,/get_data/130,119,15,5,6.100195504208417,2.7378640006645583,45.03969400047936,93.19327731092437,0.13705164139321938,0.017275416982338573,5,6,7,7,8,10,12,18,45,45,45
