Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get_data/1,144,0,5,6.82182247916627,2.67383699997481,37.1645370000806,69.0,0.11996809441803903,0.0,5,6,7,8,11,16,24,31,37,37,37
GET,/get_data/10,143,0,5,6.353020699323081,2.501697000298009,30.752763000236882,100.0,0.1191349826512471,0.0,5,6,7,7,9,13,22,25,31,31,31
GET,/get_data/100,143,0,5,6.9081192377636995,2.6476389998606464,54.336461999810126,100.0,0.1191349826512471,0.0,5,6,8,8,11,14,25,39,54,54,54
GET,/get_data/101,127,0,5,6.421297094469648,2.882214999772259,54.905285999666376,99.0,0.1058051943825761,0.0,5,6,7,7,9,14,17,25,55,55,55
GET,/get_data/102,118,0,6,7.815223771207827,2.6223740001114493,87.42365099988092,99.0,0.09830718848144865,0.0,6,6,7,7,11,13,28,73,87,87,87
GET,/get_data/103,131,0,5,6.473309862588026,2.3952660003487836,36.25675700004649,99.0,0.10913764144974385,0.0,5,6,7,8,10,13,19,20,36,36,36
GET,/get_data/104,130,0,5,7.715482361534389,2.6154130000577425,77.63012999976127,100.0,0.10830452968295191,0.0,5,6,7,9,12,14,53,70,78,78,78
GET,/get_data/105,137,0,5,6.2823477810392445,2.7484709999043844,28.89853899978334,101.0,0.11413631205049547,0.0,5,6,7,7,11,13,19,27,29,29,29
GET,/get_data/106,129,0,5,7.269236705407059,2.763523999874451,39.57295699956376,101.0,0.10747141791615997,0.0,5,7,8,9,13,16,26,33,40,40,40
GET,/get_data/107,137,0,5,6.677450912396981,2.7347199998075666,42.7758470000299,100.0,0.11413631205049547,0.0,5,7,8,8,11,14,20,29,43,43,43
GET,/get_data/108,148,0,5,6.9490872635217755,2.7122780002173386,50.530532999800926,101.0,0.12330054148520679,0.0,5,6,8,8,11,17,32,32,51,51,51
GET,/get_data/109,126,0,5,6.535847222205612,2.697437999813701,43.016886999794224,100.0,0.10497208261578415,0.0,5,6,7,8,11,13,25,33,43,43,43
GET,/get_data/11,128,0,5,7.135203460938655,2.685112999870398,73.76750499997797,99.0,0.10663830614936803,0.0,5,6,7,7,11,18,33,35,74,74,74
GET,/get_data/110,141,0,5,6.2925467446635235,2.6256710000325256,27.776909999829513,100.0,0.11746875911766322,0.0,5,6,7,7,9,12,18,19,28,28,28
GET,/get_data/111,131,0,5,6.948747496177673,2.781099000003451,34.87485999994533,101.0,0.10913764144974385,0.0,5,6,7,8,9,18,31,33,35,35,35
GET,/get_data/112,131,0,5,6.458908465686689,2.7931069998885505,32.926268999744934,100.0,0.10913764144974385,0.0,5,6,8,8,11,12,16,16,33,33,33
GET,/get_data/113,127,0,5,5.999699811032468,2.743504000136454,21.727941000335704,100.0,0.1058051943825761,0.0,5,6,7,7,9,11,16,20,22,22,22
GET,/get_data/114,125,0,5,6.561633768014872,2.587391000133721,27.436967000085133,101.0,0.10413897084899222,0.0,5,6,7,8,10,17,21,24,27,27,27
GET,/get_data/115,125,0,5,6.856768023997574,2.9949360000500747,53.00923999993756,101.0,0.10413897084899222,0.0,5,6,7,8,11,14,18,31,53,53,53
GET,/get_data/116,128,0,6,6.873470265620796,2.302534000136802,35.22533500017744,101.0,0.10663830614936803,0.0,6,7,8,8,11,15,20,29,35,35,35
GET,/get_data/117,142,0,5,6.798071330985948,2.6968819997819082,60.889260999829276,98.0,0.11830187088445517,0.0,5,6,7,8,9,16,28,39,61,61,61
GET,/get_data/118,133,0,5,7.197294195488472,2.2297309997156844,75.74159899968436,100.0,0.11080386498332773,0.0,5,6,7,8,9,16,36,57,76,76,76
GET,/get_data/119,139,0,5,6.531978978412442,2.435735000290151,22.644588999810367,99.0,0.11580253558407935,0.0,5,6,7,8,11,16,20,21,23,23,23
GET,/get_data/12,146,0,5,7.419004363014958,2.7031109998461034,57.76867900021898,98.0,0.12163431795162291,0.0,5,6,7,7,11,20,47,54,58,58,58
GET,/get_data/120,139,0,6,7.29854477697981,2.5804419997257355,83.70777399977669,100.0,0.11580253558407935,0.0,6,7,8,8,10,15,21,27,84,84,84
GET,/get_data/121,120,0,5,7.104435116661989,2.255060000152298,43.627778999962175,99.0,0.09997341201503253,0.0,5,6,8,9,12,14,23,25,44,44,44
GET,/get_data/122,110,0,6,6.247287163651808,2.879371000062747,18.128235999938624,101.0,0.09164229434711316,0.0,6,6,7,8,9,11,16,16,18,18,18
GET,/get_data/123,125,0,5,6.5217578079809755,2.8555769999911718,47.78076999991754,100.0,0.10413897084899222,0.0,5,6,7,8,11,13,17,19,48,48,48
GET,/get_data/124,128,0,5,6.899338828119994,2.6310579996788874,37.74950399974841,100.0,0.10663830614936803,0.0,5,6,7,7,12,18,29,36,38,38,38
GET,/get_data/125,135,0,6,6.934971133356764,2.7269120000710245,43.190924000100495,100.0,0.11247008851691159,0.0,6,7,8,8,11,16,23,25,43,43,43
GET,/get_data/126,128,0,5,6.109773554697995,2.811746999668685,19.261151000137033,100.0,0.10663830614936803,0.0,5,6,7,8,9,12,15,17,19,19,19
GET,/get_data/127,124,0,5,6.464091782262468,2.90346200017666,48.91075199975603,98.0,0.10330585908220029,0.0,5,6,7,8,9,12,17,24,49,49,49
GET,/get_data/128,117,0,6,7.886993059818816,3.247496000085448,94.15756499993222,100.0,0.09747407671465672,0.0,6,7,7,8,11,19,31,38,94,94,94
GET,/get_data/129,123,0,5,6.165993983741584,2.634826999837969,26.07362099979582,99.0,0.10247274731540834,0.0,5,6,7,7,9,12,18,22,26,26,26
GET,/get_data/13,140,0,5,5.9096804214342615,2.516164999860848,25.468710999575706,98.0,0.11663564735087129,0.0,5,6,7,7,9,11,16,20,25,25,25
GET,/get_data/130,120,0,5,6.845173475005595,2.8698249998342362,58.311084999786544,100.0,0.09997341201503253,0.0,5,6,7,7,10,18,22,24,58,58,58
GET,/get_data/131,135,0,5,6.650061259238606,2.64729599985003,53.946966999774304,99.0,0.11247008851691159,0.0,5,6,7,7,9,10,25,54,54,54,54
GET,/get_data/132,110,0,5,7.095734645455113,3.1805390003682987,47.13647599965043,101.0,0.09164229434711316,0.0,5,6,7,8,11,19,30,30,47,47,47
GET,/get_data/133,118,0,6,6.813942101694088,2.791537000121025,41.11251299991636,99.0,0.09830718848144865,0.0,6,6,7,8,11,16,18,20,41,41,41
GET,/get_data/134,109,0,6,7.236625862402151,2.8587219999280933,53.52491199982978,101.0,0.09080918258032121,0.0,6,7,8,9,11,13,24,35,54,54,54
GET,/get_data/135,137,0,5,6.41073632850184,2.8755749999618274,42.39471400023831,100.0,0.11413631205049547,0.0,5,6,7,7,11,14,16,20,42,42,42
GET,/get_data/136,139,0,5,6.827025172674276,3.004734999649372,31.447149999621615,101.0,0.11580253558407935,0.0,5,6,7,8,11,19,30,31,31,31,31
GET,/get_data/137,120,0,5,6.329079849984964,2.9417549999379844,18.13907099995049,100.0,0.09997341201503253,0.0,5,6,8,8,10,13,15,15,18,18,18
GET,/get_data/138,115,0,5,6.779335808697278,2.8570069998750114,32.93406600005255,100.0,0.09580785318107284,0.0,5,6,7,8,11,14,27,29,33,33,33
GET,/get_data/139,128,0,5,6.802575593756188,2.6167139999415667,33.27238199972271,101.0,0.10663830614936803,0.0,5,6,7,8,11,18,24,32,33,33,33
GET,/get_data/14,145,0,5,6.563200372429805,2.8714060001675534,45.97842800012586,100.0,0.12080120618483098,0.0,5,6,6,7,9,15,22,39,46,46,46
GET,/get_data/140,120,0,5,6.75022529167298,2.922221999597241,58.25016700009655,101.0,0.09997341201503253,0.0,5,6,7,8,10,15,21,23,58,58,58
GET,/get_data/141,129,0,5,7.581217046504736,2.6999270003216225,112.22042800000054,100.0,0.10747141791615997,0.0,5,6,7,7,10,13,37,85,110,110,110
GET,/get_data/142,122,0,5,7.273298139347255,2.8322230000412674,40.18225799973152,100.0,0.10163963554861641,0.0,5,6,7,7,12,20,31,36,40,40,40
GET,/get_data/143,134,0,5,6.67644771643853,2.533410000069125,46.18985600018277,100.0,0.11163697675011966,0.0,5,6,7,7,10,13,34,34,46,46,46
GET,/get_data/144,128,0,5,7.064711945323765,2.1578420000878396,45.564871999886236,101.0,0.10663830614936803,0.0,5,7,7,8,12,17,25,29,46,46,46
GET,/get_data/145,137,0,5,6.374684080294611,2.5914770003510057,28.356088000236923,100.0,0.11413631205049547,0.0,5,6,7,8,10,12,14,22,28,28,28
GET,/get_data/146,112,0,6,7.0430519821209305,2.832416999808629,35.08255699989604,98.0,0.09330851788069702,0.0,6,7,8,9,11,14,18,28,35,35,35
GET,/get_data/147,133,0,6,7.345023082697159,2.373132000229816,62.000342000374076,101.0,0.11080386498332773,0.0,6,7,7,8,10,15,27,55,62,62,62
GET,/get_data/148,116,0,5,6.404623767243015,2.816250000250875,31.89417199973832,100.0,0.09664096494786478,0.0,5,6,7,8,10,13,16,18,32,32,32
GET,/get_data/149,117,0,5,6.313893632478407,2.562388000114879,27.90790700009893,100.0,0.09747407671465672,0.0,5,6,7,7,11,15,19,20,28,28,28
GET,/get_data/15,161,0,5,5.978236360252589,2.6765429997794854,16.49273600014567,100.0,0.134130994453502,0.0,5,6,7,7,9,11,14,15,16,16,16
GET,/get_data/150,127,0,5,6.684014952723402,2.387556999565277,28.01395799997408,100.0,0.1058051943825761,0.0,5,6,7,8,12,16,22,26,28,28,28
GET,/get_data/151,104,0,5,7.141177163462614,2.65821400034838,72.79494999966118,100.0,0.08664362374636153,0.0,5,6,7,8,11,11,27,28,73,73,73
GET,/get_data/152,123,0,5,6.741261382123737,2.601307000077213,54.83298199987985,101.0,0.10247274731540834,0.0,5,6,7,7,11,12,13,43,55,55,55
GET,/get_data/153,98,0,6,6.718733948991476,2.633335000155057,56.7875599999752,101.0,0.0816449531456099,0.0,6,6,7,7,8,14,21,57,57,57,57
GET,/get_data/154,117,0,5,7.5955830341833,2.771068000129162,48.33135899980334,100.0,0.09747407671465672,0.0,5,6,7,8,12,23,32,39,48,48,48
GET,/get_data/155,118,0,5,6.999396254211545,2.498414000001503,54.747650000081194,99.0,0.09830718848144865,0.0,5,6,7,8,11,18,19,33,55,55,55
GET,/get_data/156,112,0,6,7.3069239732279,2.760747000138508,39.75868799989257,101.0,0.09330851788069702,0.0,6,7,8,9,10,16,27,34,40,40,40
GET,/get_data/157,127,0,5,6.115595228377103,2.812880999954359,56.69338000006974,100.0,0.1058051943825761,0.0,5,6,7,7,8,10,16,19,57,57,57
GET,/get_data/158,118,0,5,6.860073305065887,2.6259840001330303,41.20716800025548,98.0,0.09830718848144865,0.0,5,6,7,7,10,16,28,30,41,41,41
GET,/get_data/159,115,0,5,7.720869113037897,2.855212000213214,56.54719700032729,100.0,0.09580785318107284,0.0,5,7,8,9,11,20,38,39,57,57,57
GET,/get_data/16,140,0,5,7.602695064268313,2.6004569999713567,104.27181099976224,97.0,0.11663564735087129,0.0,5,6,7,7,12,23,29,32,100,100,100
GET,/get_data/160,116,0,5,7.267779163786882,2.6527009999881557,61.97555100015961,99.0,0.09664096494786478,0.0,5,6,7,7,10,15,37,47,62,62,62
GET,/get_data/161,111,0,6,8.000321612592638,2.445465000164404,78.25457899980393,100.0,0.09247540611390509,0.0,6,7,7,8,12,19,41,55,78,78,78
GET,/get_data/162,112,0,5,7.517973598189493,2.893629000027431,56.13150399994993,100.0,0.09330851788069702,0.0,5,7,7,8,12,18,25,46,56,56,56
GET,/get_data/163,112,0,5,7.589956875000731,2.5261450000471086,81.08699500007788,98.0,0.09330851788069702,0.0,5,6,7,8,12,14,32,60,81,81,81
